public_id,name,slug,category,facility_status,stage_of_development,is_live,is_under_construction,longitude,latitude,city,admin_region,country_code,company_id,dcbyte_url
GnelQR,N37,3data-n37,Colocation,Open,"live, committed",True,False,131.971786,43.327377,Vol'no-Nadezhdinskoye,Primorskiy,RU,02rVM2,https://app.dcbyte.com/property/3data-n37
BJLE5G,Fursan,fursan,Colocation,Open,live,True,False,49.955733384,26.362724762,Sayhat,Eastern Province,SA,6WVnjW,https://app.dcbyte.com/property/fursan
G3MQAB,,dongtan-idc,Self-build,Open,"live, committed",True,False,127.0998175,37.17672311,Osan,Gyeonggi-do,KR,,https://app.dcbyte.com/property/dongtan-idc
B1AkVB,,csc-lumi,Self-build,Open,live,True,False,27.690040297,64.231666303,Kajaani,Kainuu,FI,,https://app.dcbyte.com/property/csc-lumi
woQjgR,,gastat-data-centre,Self-build,Open,live,True,False,46.619615871,24.821335978,Riyadh,Ar Riyad,SA,,https://app.dcbyte.com/property/gastat-data-centre
RvYYyB,,new-zealand-2,Self-build,Open,landbanked,False,False,174.627265815,-36.799343537,Rosebank,Auckland,NZ,,https://app.dcbyte.com/property/new-zealand-2
weXm6G,,data-centre-iau,Self-build,Open,live,True,False,50.195319568,26.39740898,Dammam,Eastern Province,SA,,https://app.dcbyte.com/property/data-centre-iau
qB1X4w,TOR01,edgeconnex-tor01,Colocation,Open,"live, committed",True,False,-79.342541,43.809288,Willowdale,Ontario,CA,PWOPEL,https://app.dcbyte.com/property/edgeconnex-tor01
R4JlVw,,mid-range-markham,Self-build,Open,live,True,False,-79.351892354,43.815401061,Willowdale,Ontario,CA,,https://app.dcbyte.com/property/mid-range-markham
DBAnaR,FR2,equinix-fr2,Colocation,Open,live,True,False,8.741775,50.142067,Bad Vilbel,Hesse,DE,XW5rEZ,https://app.dcbyte.com/property/equinix-fr2
BbYJWw,ISANDO CAMPUS - JB3,teraco-isando-campus---jb3,Colocation,Open,live,True,False,28.19937614,-26.137195055,Modderfontein,Gauteng,ZA,0WeXOl,https://app.dcbyte.com/property/teraco-isando-campus---jb3
pGDjDB,,le-noirmont,Self-build,Open,live,True,False,6.966228,47.224301,Le Noirmont,Jura,CH,,https://app.dcbyte.com/property/le-noirmont
R8QEMG,ST1-ST2-Ciudad de los Valles Data Center,st1-st2-ciudad-de-los-valles-data-center,Colocation,Open,live,True,False,-70.851276676,-33.448190287,Lo Prado,Santiago Metropolitan,CL,XW5rEZ,https://app.dcbyte.com/property/st1-st2-ciudad-de-los-valles-data-center
